rank,score,provider,label,api_model,reasoning,response,latency_ms,status,error
1,92.7,xai,grok-4.20-non-reasoning,grok-4.20-0309-non-reasoning,,92.7,2133.7,ok,
2,88.5,google,gemini-3.5-flash,gemini-3.5-flash,thinkingLevel=high,88.5 out of 100.,5617.8,ok,
3,88.5,google,gemini-2.5-pro,gemini-2.5-pro,thinkingBudget=32768,88.5,15969.3,ok,
4,88.5,dashscope,qwen3.5-plus,qwen3.5-plus,enable_thinking=True,88.5,32660.7,ok,
5,88.4,dashscope,qwen3.5-flash,qwen3.5-flash,enable_thinking=True,88.4,14738.5,ok,
6,87.5,google,gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,thinkingLevel=high,87.5/100,4097.4,ok,
7,87.5,google,gemini-3.1-flash-lite,gemini-3.1-flash-lite,thinkingLevel=high,87.5/100,5530.6,ok,
8,87.5,google,gemini-3.5-flash,gemini-3.5-flash,thinkingLevel=medium,87.5,6373.7,ok,
9,87.5,google,gemini-3.1-pro-preview,gemini-3.1-pro-preview,thinkingLevel=high,87.5,10753.3,ok,
10,87.5,dashscope,qwen3.6-plus,qwen3.6-plus,enable_thinking=True,87.5,21887.8,ok,
11,87.5,openai,gpt-5.5-pro,gpt-5.5-pro,effort=xhigh,87.5/100,58340.9,ok,
12,87.2,google,gemini-3-pro-preview,gemini-3-pro-preview,thinkingLevel=high,87.2,16675.2,ok,
13,86.7,openai,gpt-5.4-pro,gpt-5.4-pro,effort=high,86.7,234786.1,ok,
14,86.5,openai,gpt-5.5-pro,gpt-5.5-pro,effort=high,86.5/100,37306.4,ok,
15,86.4,openai,gpt-5.4,gpt-5.4,effort=xhigh,86.4,5528.1,ok,
16,85.5,google,gemini-3-pro-preview,gemini-3-pro-preview,thinkingLevel=medium,85.5,20678.1,ok,
17,84.7,google,gemini-3.1-flash-lite,gemini-3.1-flash-lite,thinkingLevel=medium,84.7/100,3275.4,ok,
18,84.7,openai,gpt-5.4,gpt-5.4,effort=high,84.7/100,3884.6,ok,
