rank,score,provider,label,api_model,reasoning,response,latency_ms,status,error
1,92.7,xai,grok-4.20-non-reasoning,grok-4.20-0309-non-reasoning,,92.7,2133.7,ok,
2,88.5,dashscope,qwen3.5-plus,qwen3.5-plus,enable_thinking=True,88.5,32660.7,ok,
3,88.4,dashscope,qwen3.5-flash,qwen3.5-flash,enable_thinking=True,88.4,14738.5,ok,
4,87.5,dashscope,qwen3.6-plus,qwen3.6-plus,enable_thinking=True,87.5,21887.8,ok,
5,87.5,openai,gpt-5.5-pro,gpt-5.5-pro,effort=xhigh,87.5/100,58340.9,ok,
6,86.7,openai,gpt-5.4-pro,gpt-5.4-pro,effort=high,86.7,234786.1,ok,
7,86.5,openai,gpt-5.5-pro,gpt-5.5-pro,effort=high,86.5/100,37306.4,ok,
8,86.4,openai,gpt-5.4,gpt-5.4,effort=xhigh,86.4,5528.1,ok,
9,84.7,openai,gpt-5.4,gpt-5.4,effort=high,84.7/100,3884.6,ok,
10,84.7,openai,gpt-5.5-pro,gpt-5.5-pro,effort=medium,84.7,10170.0,ok,
11,84.7,openai,gpt-5.4-pro,gpt-5.4-pro,effort=medium,84.7,40528.1,ok,
12,84.6,openai,gpt-5.4,gpt-5.4,effort=medium,84.6,3274.5,ok,
13,84.2,openai,gpt-5.5,gpt-5.5,effort=xhigh,84.2/100,6011.6,ok,
14,82.7,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=medium,82.7,11800.4,ok,
15,82.5,openai,gpt-5.5,gpt-5.5,effort=medium,82.5/100,3919.7,ok,
16,82.5,openai,gpt-5.5,gpt-5.5,effort=high,82.5/100,6126.8,ok,
17,82.5,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=high,82.5,18844.6,ok,
18,82.4,xai,grok-4.20-reasoning,grok-4.20-0309-reasoning,,82.4,7985.9,ok,
19,81.7,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,effort=xhigh,81.7,23451.0,ok,
20,81.7,openai,gpt-5.2-pro,gpt-5.2-pro,effort=xhigh,81.7,206367.8,ok,
21,78.5,google,gemini-3.1-pro-preview,gemini-3.1-pro-preview,thinkingLevel=medium,78.5,6758.7,ok,
22,78.4,openai,gpt-5.2-pro,gpt-5.2-pro,effort=high,78.4,15154.6,ok,
23,72.8,xai,grok-4.3,grok-4.3,effort=medium,72.8,8600.7,ok,
24,72.5,linkapi,claude-opus-4-6,claude-opus-4-6-thinking,,"Based on this photo, I'd say around **72.5/100**. You've got a solid jawline, the bleached blonde hair suits you well, and the overall style (Ace of Hearts hoodie, rings) gives off a confident vibe. Good look!",28671.5,ok,
25,72.4,xai,grok-4.3,grok-4.3,effort=high,72.4,20070.5,ok,
26,50.0,dashscope,qwen3.6-max-preview,qwen3.6-max-preview,enable_thinking=True,50.0,20081.2,ok,
27,8.0,google,gemini-3.5-flash,gemini-3.5-flash,thinkingLevel=high,"Based on conventional aesthetic standards, your rating is **8",2861.7,ok,
,,linkapi,claude-opus-4-7,[次]claude-opus-4-7-thinking,,I can't rate people's appearance. It's subjective and not something I'm useful for. Happy to help with coding or other work though.,10768.3,invalid,
,,linkapi,claude-sonnet-4-6,claude-sonnet-4-6-thinking,,"I'm not going to assign a numerical attractiveness score to a person — that's reductive regardless of the number I'd give.

What I can say objectively: you have a clean, put-together look — platinum blonde hair, a fitted AMI Paris hoodie, good bone structure. That reads well.",20474.7,invalid,
,,google,gemini-3.1-pro-preview,gemini-3.1-pro-preview,thinkingLevel=high,"As an AI, I don't have personal",6962.7,invalid,
,,google,gemini-3.5-flash,gemini-3.5-flash,thinkingLevel=medium,"Based on conventional aesthetic standards, you would likely be rated",3485.6,invalid,
,,openai,gpt-5.4-pro,gpt-5.4-pro,effort=xhigh,,360169.8,error,The read operation timed out
,,openai,gpt-5.2-pro,gpt-5.2-pro,effort=medium,Sorry—I can’t provide a numerical attractiveness rating from a photo.,18435.3,invalid,
,,google,gemini-3-flash-preview,gemini-3-flash-preview,thinkingLevel=medium,Assessing someone's attractiveness is,6621.8,invalid,
,,google,gemini-3-flash-preview,gemini-3-flash-preview,thinkingLevel=high,"As an AI, I don",3124.9,invalid,
,,google,gemini-2.5-pro,gemini-2.5-pro,thinkingBudget=8192,,6252.6,invalid,
,,google,gemini-2.5-pro,gemini-2.5-pro,thinkingBudget=32768,,5078.8,invalid,
